states,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia_,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Puerto_Rico
Alaska,0,910,722,"3,455","1,847",0,0,74,"1,172",565,"1,029",497,"1,024",165,26,800,162,83,16,548,170,791,586,330,938,534,413,"2,013",0,335,489,380,"1,676",210,176,184,"1,896",111,38,389,175,171,"2,322",410,5,654,"2,558",0,340,192,344
Arizona,"2,743",0,"1,487","68,516","11,517",503,49,26,"6,701","3,149",591,"2,733","13,247","2,555","3,049","3,802","1,265","1,416",353,"2,955","1,299","4,477","6,206","1,780","4,476","1,419","1,663","8,057","1,500","4,084","6,866","5,281","6,587","2,169","6,322","2,530","13,697","3,692",323,"2,252",913,"1,291","20,245","5,828",37,"4,956","17,560",29,"7,788",929,"1,289"
Arkansas,413,602,0,"3,728","3,255",159,126,0,"3,966",929,468,0,"3,359","1,241",119,"1,072",831,"2,311",27,470,139,584,196,"2,568","9,400",76,76,84,156,277,214,139,638,225,857,"8,490",254,860,0,121,146,"5,492","15,531",712,0,900,"1,328",72,130,0,"1,693"
California,"2,155","33,670","2,573",0,"18,755","6,366","1,143","5,063","22,464","11,753","12,848","4,224","22,165","6,313","2,461","4,826","2,010","4,441","1,294","11,042","17,529","10,335","6,221","2,393","7,981","2,481","3,619","22,433",682,"11,666","3,822","34,848","11,400","1,909","13,999","4,901","24,050","11,848","1,738","4,896","1,296","8,060","37,810","9,440","1,641","17,725","38,007","1,246","5,364","1,526","1,250"
Colorado,"2,102","7,987","1,442","28,288",0,"1,498",190,"1,119","14,017","8,239","3,356","1,268","7,783","2,945","2,385","5,071","2,754","1,216",912,"3,454","3,949","4,253","5,208",597,"6,803","3,731","6,025","3,455",183,"1,780","11,444","6,362","6,336","1,118","3,169","5,956","2,890","4,701",706,"3,203","2,176","1,444","26,930","4,833","1,043","9,260","6,686",238,"3,100","1,951","1,104"
Connecticut,8,"1,204",51,"3,870","1,105",0,"1,015",506,"4,563","2,606",472,0,"1,513",237,86,79,233,597,"1,342","1,182","7,630",819,106,0,69,35,0,149,939,"4,573",0,"27,361","1,145",0,"1,410",172,642,"3,446","2,136","1,811",0,743,"4,044","1,305",595,"2,294","1,062",181,328,0,"4,485"
Delaware,0,115,0,551,0,487,0,136,"1,122",118,0,0,191,50,205,747,94,468,101,"5,639",481,153,0,148,0,0,86,0,157,"6,112",30,"2,907",586,167,446,0,0,"9,991",187,470,0,103,378,99,305,"1,458",0,124,0,0,185
District_of_Columbia_,0,204,0,"3,803",336,262,182,0,"1,789",647,124,0,"1,066",146,162,0,110,0,61,"12,735","1,664",486,143,146,201,92,0,36,130,"2,382",0,"4,642","1,026",0,"1,592",0,80,"1,617",87,408,0,690,"1,036",215,213,"7,773",387,294,346,68,183
Florida,"1,388","4,542","3,239","26,888","15,746","18,291","4,124",983,0,"35,350","3,008","1,594","27,622","11,784","3,538","2,970","11,330","4,389","2,783","15,173","20,314","20,852","6,820","2,984","9,774","1,007","3,893","3,772","5,137","30,105","2,558","63,033","26,708","1,485","22,452","3,190","3,639","31,712","4,219","15,250","3,062","13,285","24,197","3,558","1,723","31,798","9,045","5,760","7,573",744,"44,710"
Georgia,917,"2,255","1,900","16,745","3,497","5,574",520,571,"51,020",0,"2,335",193,"6,146","4,151","1,995","1,110","2,027","3,082",89,"5,797","2,577","5,592","1,042","2,967","2,889","1,018","2,097",674,103,"9,055","1,619","10,754","16,957",364,"6,935","3,297",909,"4,527",196,"16,328",522,"18,283","22,746","1,123",431,"6,992","3,520","1,277","2,627","1,339","1,382"
